GBPJPY	British Pound / Japanese Yen bugün yatırımcıların odağında.
USDJPY	USDJPY kuru yeni seviyeyi test etti.
USDNOK	USD/NOK paritesinde oynaklık arttı.
USDTRY	Dolar kuru TCMB mesajlari sonrasinda sakin seyretti
AUDUSD	AUD/USD kuru yeni seviyeyi test etti.
EURTRY	EUR/TRY bugün yatırımcıların odağında.
USDCHF	USD/CHF bugün yatırımcıların odağında.
USDCAD	USD/CAD bugün yatırımcıların odağında.
USDSEK	USDSEK paritesinde oynaklık arttı.
USDINR	USDINR kuru yeni seviyeyi test etti.
USDZAR	USD/ZAR paritesinde oynaklık arttı.
USDTRY	Dolar/TL kurunda sinirli yukselis suruyor
USDCNY	US Dollar / Chinese Yuan kuru yeni seviyeyi test etti.
GBPUSD	British Pound / US Dollar bugün yatırımcıların odağında.
GBPTRY	GBPTRY bugün yatırımcıların odağında.
USDSAR	USD/SAR kuru yeni seviyeyi test etti.
NZDUSD	NZDUSD paritesinde oynaklık arttı.
USDTRY	Dolar/TL paritesinde oynaklık arttı.
USDDKK	US Dollar / Danish Krone paritesinde oynaklık arttı.
EURJPY	EUR/JPY bugün yatırımcıların odağında.
EURGBP	EURGBP paritesinde oynaklık arttı.
EURUSD	EURUSD paritesi ABD verileri sonrasinda toparlanma aradi
