ETH	ETHUSDT yatırımcı ilgisi gördü.
XRP	XRP odakli dava surecinde iyimserlik fiyatlamasi devam etti
SOL	SOLUSDT bugün yatırımcıların odağında.
BTC	MicroStrategy’s STRC Preferred Stock Buys 10X More Bitcoin Than All ETFs in 2026 - Yahoo Finance
BTC	Bitcoin 78 bin doları test etti: Kripto piyasasında yükseliş rüzgarı ve yeni zirve beklentisi! - A Para
ATOM	Cosmos sert yükseldi.
BTC	Bitcoin opsiyon piyasasinda risk istahi yukseliyor
BTC	Bitcoin ETF girisleri sonrasi 70 bin dolar sinirina yaklasti
BTC	Bitcoin jumps to $78,000 as Trump extends Iran ceasefire - Yahoo Finance
BTC	Cathie Wood: The Days of Big Crashes in Bitcoin Are Over
LINK	Interlink Electronics, Inc. hisseleri yükseldi.
