ARCLK	Arcelik premium urun karmasiyla gelir kalitesini artiriyor
BIMAS	BIM operasyonel marjlarini korumaya yonelik adimlar atiyor
SAHOL	Sabanci Holding bankacilik disi varliklarin katkisini artirmayi planliyor
BIMAS	BIM tedarik zinciri optimizasyonuyla marj baskisini sinirliyor
TCELL	Turkcell superonline aboneliklerinde ivmeyi koruyor
KCHOL	KCHOL enerji yatirimlarindaki disiplinli dagilimla one cikiyor
XU100	Borsa İstanbul son durum 22 Nisan Çarşamba 2026: BIST 100 yorum - Finans haberlerinin doğru adresi - Mynet Finans Haber - Mynet Finans
MGROS	MGROS sadakat programi etkisiyle musteri trafigini artiriyor
LOGO	Logo Yazilim e-donusum urun grubunda buyume bekliyor
NNBR	NN, Inc. yeni yatırım planını duyurdu.
US02Y	US02Y faizi yukarı yönlü hareket etti.
BIMAS	BIMAS indirim market modelindeki verimlilikle dikkat cekiyor
GARAN	GARAN komisyon gelirlerindeki artisla piyasanin takibinde kaldi
ETH	ETHUSDT yatırımcı ilgisi gördü.
ARCLK	Arcelik premium urun karmasi sayesinde gelir kalitesini artiriyor
MGROS	MGROS taze gida ve online kanalda buyume yakaladi
VAKBN	VAKBN kamu destekli finansman paketleriyle gundemde kaldi
EKGYO	EKGYO on satis gelirlerindeki ivmeyle dikkat cekiyor
ISCTR	Is Bankasi istirak gelirlerinin destegiyle one cikiyor
MGROS	MGROS hisseleri yükseldi.
TCELL	Turkcell kurumsal servis gelirlerindeki buyumeyle dikkat cekti
TCELL	TCELL yurt ici veri tuketimindeki artisi gelirlerine yansitiyor
TCELL	TCELL faturalı abone bazindaki buyumeyle dikkat cekiyor
VFS	Is VinFast Auto Ltd (VFS) Among the Must-Buy Penny Stocks to Invest In Now?
THYAO	THYAO yolcu gelirlerindeki toparlanmayla pozitif ayrisiyor
EURUSD	EURUSD paritesi ABD verileri sonrasinda toparlanma aradi
AAPL	Apple tedarik zinciri beklentileriyle primli acildi
APP	Here’s What Argus Research Thinks About ​AppLovin (APP)
TTKOM	TTKOM sabit internet tarafindaki ivmeyi koruyor
ATAI	ATAI bugün yatırımcıların odağında.
MIRA	Should I buy MIRA Pharmaceuticals (MIRA) stock right now | Q3 2025: EPS Exceeds Expectations - Price Target - Cổng thông tin điện tử Tỉnh Sơn La
ASELS	Aselsan yurt disi musteriyle yeni savunma sozlesmesi imzaladi
YKBNK	Yapi Kredi bireysel musteri tabanini genisletmeyi surduruyor
PGSUS	Pegasus dis hat kapasitesini yaz aylarinda yukseltecek
KCHOL	KCHOL enerji ve otomotiv segmentlerindeki dengeli performansla izlendi
MGROS	Migros online siparis buyumesiyle dikkat cekti
BIMAS	BIM yeni magazalariyla organik buyume planini surduruyor
ISCTR	İşbank kurumsal kredi buyumesiyle bankacilik endeksine destek verdi
PGSUS	PGSUS filo kullanim verimliligini yeni ceyrekte yukseltti
SISE	SISE duzcam ve kimyasallar segmentindeki talep canlanmasini izliyor
LOGO	Logo Yazilim KOBI urun tarafinda yeni musteri kazanimina odaklandi
AMD	​Wall Street Bullish on Advanced Micro Devices (AMD), Here’s What Analysts Have to Say
TOGG	TOGG yeni teslimat takvimi ve yazilim guncellemesiyle gundemde
PLTR	Here’s Why Mizuho Lowered Price Target on Palantir Technologies (PLTR)
UK	UK bilançosunu açıkladı.
SAHOL	Brisa Bridgestone Sabancı 1 milyar TL’lik tahvil ihracını tamamladı Yazar Investing.com - Investing.com Türkiye
EKGYO	EKGYO yeni etap satislarindan gelecek gelirleri projeksiyonuna ekledi
RRGB	Is Red Robin (RRGB) stock worth watching | Q4 2025: EPS Tops Views - Social Investment Platform - Cổng thông tin điện tử Tỉnh Sơn La
YKBNK	YAPI VE KRED? BANKASI A.?. yeni yatırım planını duyurdu.
AKBNK	AKBNK fonlama maliyetlerindeki gerilemeyi marjlara yansitiyor
