SOYBEAN	Soybean fiyatları geriledi.
CORN	CORN fiyatları geriledi.
PLATINUM	Platinum fiyatları geriledi.
NATGAS	Natural Gas fiyatları yükselişe geçti.
SUGAR	Sugar fiyatları yükselişe geçti.
OIL	Peter Schiff Alleges Market Manipulation As $760 Million Bet Draws Scrutiny—Iran Parliamentary Speaker Calls Oil Futures, Treasuries 'House Of Cards' - Yahoo Finance
COFFEE	Coffee bugün yatırımcıların odağında.
WHEAT	Wheat fiyatları geriledi.
GOLD	GOLD fiyatları yükselişe geçti.
COPPER	Copper Wire & Cable Market by Insulation Type, Voltage Type, Installation, Application, End-use Industry, and Region - Forecast to 2032 - Yahoo Finance
SILVER	How to invest in silver: A beginner's guide
BRENT	Brent petrol Orta Dogu kaynakli risklerle yeniden 85 dolar sinirina dayandi
COTTON	COTTON bugün yatırımcıların odağında.
XAUUSD	XAUUSD bugün yatırımcıların odağında.
BRENT	Brent petrol fiyatlari arz endiseleriyle yukseliyor
BRENT	Brent fiyatları yükselişe geçti.
XAGUSD	Silver Spot bugün yatırımcıların odağında.
PALLADIUM	Palladium fiyatları yükselişe geçti.
